sentence,language
Cái nhà ga kia có màu vàng đậm.,Vietnamese
Mijn vriend schrijft een boek over Duitse studenten in Nederland. Wat interessant!,Dutch
Pitit gason l 'te di ke ba pouvwa yo pa te anyen plis pase ba sirèt granmoun.,Haitian Creole
わたしより、たかいですよ。,Japanese
Не переживай.,Russian
Ci sono voluti secoli di lavoro.,Italian
তিনি তিক্ত ছিলেন না যে তিনি এগিয়ে গেছেন কিন্তু মূলা থেকে।,Bengali
পাংক ৰক বেণ্ডত নায়ক নাই।,Assamese
Non sto male.,Italian
هذا هو جيرى ادامز المتصل,Arabic
Toon alle opgaven,Dutch
いいえ、ふるいのはまだつかえますから。,Japanese
"Da, vorbesc engleza",Romanian
Vivendo si impara.,Italian
οι γαρ Πελοποννησιοι πρεσβεις πεπομφασι λεξοντας οτι πολεμος εσται εαν μη την αρχην αφωμεν.,Greek
弟は大学生で、ほうりつをべんきょうしています。,Japanese
Ça sent mauvais,French
실례합니다,Korean
A turnat pietre în temnița minții sale.,Romanian
"Ne provi uno, per favore.",Italian
তিনি চমৎকারভাবে লোকেদের গুলি করতে পারদর্শী ছিলেন।,Bengali
ਉਹ ਗੁਆਂਢ ਵਿੱਚ ਸਭ ਤੋਂ ਵਧੀਆ ਲਾਅਨ ਰੱਖਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਦਾ ਹੈ।,Punjabi
Glück kann in den Tiefen des Schokoladenpuddings gefunden werden.,German
Иди спать.,Russian
Том плавал.,Russian
Dann te plonje nan fon nan twou lapen an.,Haitian Creole
Câți băieți și fete sunt în grădină?,Romanian
তেওঁ পাৰে নে নোৱাৰে তাক লৈ ইমানেই ব্যস্ত হৈ পৰিছিল যে তেওঁ ৰৈ থাকিব লাগে নে নাই সেইটো বিবেচনা কৰিবলৈ ব্যৰ্থ হৈছিল।,Assamese
Dlo ki t ap koule desann nan gwo larivyè Lefrat la pa t parèt pisan nan machin nan,Haitian Creole
Waar is je eigen fiets? Is die kapot?,Dutch
يرجى التأكد أنفسكم مريحة.,Arabic
Оставьте это.,Russian
J'ai perdu ma montre,French
3 أجزاء لمفهوم الذات لذروة الأداء,Arabic
Mwen paka di ou kòman mwen kontan wè ou.,Haitian Creole
"Doris genoss es, mit ihren Nägeln auf den Tisch zu klopfen, um alle zu ärgern.",German
Họ đang ăn gì?,Vietnamese
ਇੱਕ ਕੰਗਾਰੂ ਅਸਲ ਵਿੱਚ ਸਟੀਰੌਇਡ ਤੇ ਇੱਕ ਖਰਗੋਸ਼ ਹੈ।,Punjabi
"Non parlate mai in italiano, siete proprio pigri!",Italian
"Sie war der Typ Mädchen, der in einem rosa Haus leben wollte.",German
Buona serata. Altrettanto!,Italian
নীলা ৰঙৰ শব্দটো সেই সময়ত বহুত ঠাণ্ডা যেন লাগিছিল আৰু তথাপিও ই জিনৰ বাবে কাম কৰা যেন লাগিছিল।,Assamese
それでは、こちらのおはなのネックレスか、ハートのネックレスはいかがですか。,Japanese
"Io ci sto, preparati al peggio.",Italian
Hace sol y fresco.,Spanish
একটি আইসক্রিম সানডেতে কখনই অনেক বেশি চেরি থাকতে পারে না।,Bengali
Conosco la donna di cui stai parlando.,Italian
"إذا كان قد حظي بوظيفة جيدة، فإنه سوف يكون أكثر سعادة.",Arabic
Les fêtes ne sont pas demain.,French
I studied for 2 hours.,English
多少钱?,Mandarin
"ਸੂਰਜ ਡੁੱਬਣ ਤੋਂ ਕੋਈ ਫਰਕ ਨਹੀਂ ਪੈਂਦਾ, ਇਹ ਜਾਣ ਕੇ ਉਸ ਨੂੰ ਦੁੱਖ ਹੋਇਆ ਕਿ ਉਹ ਇੱਕ ਦਿਨ ਵੱਡੀ ਸੀ।",Punjabi
খেলনাটি রেইন ফরেস্টে হারিয়ে যাওয়ার মধুর স্মৃতি ফিরিয়ে এনেছে।,Bengali
Văd o fată în curte,Romanian
Mwen te kòmanse enkyete ke tòti bèt kay mwen an te kapab di sa m 'te panse.,Haitian Creole
Я трезвый.,Russian
انا عندى طاقة كبيرة,Arabic
"Ik begrijp de caissiere niet, want ze praat zo zacht",Dutch
すみません、こどもふくはどこにありますか。,Japanese
Excusez-moi,French
"Es war das erste Mal, dass er jemanden auf einem Elefanten kochen sah.",German
Le livre est derrière la table,French
Cartea este în fața mesei.,Romanian
الاستجابة السلوكية الناتجة عن الخوف هو:,Arabic
Wir haben Kuchen mitgebracht,German
Mi piacerebbe stare qui.,Italian
Ça ne me fait rien,French
Я победил?,Russian
"私が一ばんかんどうした映画は""いきる""です。",Japanese
Nel film si baciavano appassionatamente.,Italian
Они ушли.,Russian
Você se interessa por esportes?,Portugese
We are starting to play the guitar in music class.,English
"David verschreibt sich der „Steck dein Zelt in die Tasche“-Strategie, anstatt es schön zu falten.",German
Εγώ είμαι είκοσι χρόνων.,Greek
Предупредите Тома.,Russian
Carolinaban élünk.,Hungarian
Ich gehe wirklich gern einkaufen.,German
Я расстроен.,Russian
おきゃくさま、しょくごにコーヒーかデザートはいかがですか。,Japanese
Quello che dici non ha senso.,Italian
즐거웠어요.,Korean
Peștele asculta cu atenție ce aveau de spus broaștele.,Romanian
Eerst moet ik dit opschrijven,Dutch
Ea locuia pe Monkey Jungle Road și asta părea să explice toată ciudățenia ei.,Romanian
Ad esempio...,Italian
Aonde está Tara? - Ela está tomando banho,Portugese
It was raining.,English
Je suis venu avec ma famille,French
هل نظرت إلى جدول الأعمال؟,Arabic
Non lo dico neanch'io.,Italian
Простите меня.,Russian
언제 했어요?,Korean
"Kwoke, ti chat mwen yo ap grate basen an epi yo pral fache pa mank de biskwit.",Haitian Creole
Le tribunal est en France.,French
明日は授業がないから、今晩、どこかに食べに行こう。,Japanese
"τι εστι το δικαιον; το δικαιον εστι το τους μεν φιλους ωφελειν, τους δε εχθρους βλαπτειν.",Greek
لديه بعض المخاوف بخصوص الموظفين.,Arabic
Voglio che tu mi risponda onestamente.,Italian
Ti richiamo questo pomeriggio.,Italian
L'homme boit une bière entière.,French
ਮੈਨੂੰ ਆਪਣੇ ਪਾਲਤੂ ਸ਼ਾਰਕ ਨਾਲ ਮਾਰੋ!,Punjabi
Certe volte non capivo cosa ti succedesse.,Italian
I am happy because I have a pasta party after school.,English
Bạn có nổi tiếng không?,Vietnamese
Пишите мне.,Russian
Non andrò a meno che tu non mi dica dove andiamo.,Italian
"Die Puppe drehte sich im Kreis in der Hoffnung, lebendig zu werden.",German
きょうは、なんじまでですか。,Japanese
Wo ist mein Schal?,German
Donc tu aimes ma fille!,French
Mit Schokolade überzogene Grillen waren sein Lieblingssnack.,German
谁,Mandarin
মনত ৰখাটো গুৰুত্বপূৰ্ণ যে ৰেম্পেজিং কৰা গ্ৰীজলি ভালুকৰ বিষয়ে সচেতন হ’ব লাগে।,Assamese
"Wenn Sie keine Zehennägel mögen, sollten Sie wahrscheinlich nicht auf Ihre Füße schauen.",German
Au decis să planteze o livadă de vată de zahăr.,Romanian
Fetița de trei ani a alergat pe plajă în timp ce zmeul zbura în spatele ei.,Romanian
Vos enfants sont très bien élevés,French
Va verso la strada.,Italian
Bố mẹ tôi trừng phạt tôi vì tôi không làm việc.,Vietnamese
"Ik zal mijn schema nakijken en contact met je opnemen, en laten we gaan drinken als ik vrij ben.",Dutch
Pantyhose ak pinga'w yo se yon chwa enteresan nan vètman pou plaj la.,Haitian Creole
Est-ce que je peux prendre un message ?,French
Abbiamo tanto da offrire.,Italian
どのようなケーキをご希望ですか。,Japanese
ਉਹ ਚੁੱਪਚਾਪ ਅਜਾਇਬ ਘਰ ਵਿੱਚ ਦਾਖਲ ਹੋ ਗਿਆ ਜਿਵੇਂ ਹੀ ਸੁਪਰ ਬਾਊਲ ਸ਼ੁਰੂ ਹੋਇਆ।,Punjabi
Ils sont jolis.,French
"Natirèlman, li renmen pantouf lapen woz li yo.",Haitian Creole
Li te fini boule dwèt li pike dife yon lòt moun.,Haitian Creole
Che ne dite?,Italian
Je m'appelle John Smith,French
"Quando guardano la foresta, non vedono gli alberi.",Italian
বাথৰুমত বেলেটৰ অনুশীলন কৰি তেওঁ ভাল পায়।,Assamese
Конечно.,Russian
I will do my homework this afternoon.,English
천만에요,Korean
Tes chaussures sont ici.,French
Dove avresti trovato un'opportunità simile?,Italian
জেলৰ পৰা হাত সাৰিবলৈ তেওঁ নিজৰ নিৰুদ্দেশৰ নকল কৰাৰ সিদ্ধান্ত লয়।,Assamese
أنا أُقَدِر فرصة التحدث معك.,Arabic
Beim Anblick seines Spitzbarts wollte ich am liebsten weglaufen und mich unter dem Bett meiner Schwägerin verstecken.,German
Loro sono solamente qui per osservare.,Italian
তিনি দরজার পিছনে তাকালেন এবং যা দেখলেন তা পছন্দ করেননি।,Bengali
كان لديه صداع.,Arabic
তেনেকৈয়ে তেওঁ ১০ লাখ ডলাৰ লাভ কৰিবলৈ আহিছিল।,Assamese
ਅੰਗੂਰ ਦੀ ਜੈਲੀ ਛੱਤ ਦੇ ਮੋਰੀ ਵਿੱਚੋਂ ਬਾਹਰ ਨਿਕਲ ਰਹੀ ਸੀ।,Punjabi
Le grandi menti pensano allo stesso modo.,Italian
Devi mangiare la nutella.,Italian
Je vergist je niet.,Dutch
Sentimmo un rumore nella camera da letto.,Italian
お母さんは子供に本を読ませました。,Japanese
حظ سعيد! انطلق!,Arabic
Lasciamo che decida lui.,Italian
তিনি বেড়ার উপর দেখতে খুব ছোট ছিল.,Bengali
ਹਾਈ ਸਕੂਲ ਦੌਰਾਨ ਮੈਨੂੰ ਆਪਣੇ ਉਪਨਾਮ 'ਤੇ ਬਹੁਤ ਮਾਣ ਸੀ ਪਰ ਅੱਜ- ਮੈਂ ਆਪਣੇ ਉਪਨਾਮ ਤੋਂ ਵੱਖ ਨਹੀਂ ਹੋ ਸਕਦਾ ਸੀ।,Punjabi
ਪੱਥਰਾਂ ਨੇ ਸੜਕ ਦੇ ਕਿਨਾਰੇ ਕਤਾਰਾਂ ਲਗਾਈਆਂ ਹਨ ਜੋ ਭਵਿੱਖਬਾਣੀ ਕਰਦੇ ਹਨ ਕਿ ਅੱਗੇ ਕੀ ਹੋ ਸਕਦਾ ਹੈ।,Punjabi
Ele tem vinte e quatro anos,Portugese
De quelle couleur est cette voiture ?,French
Высокая коричневая гостиница,Russian
はい、１１時までですが、ラストオーダーは１０時です。,Japanese
الدراسة في الليل صعبة.,Arabic
إذا كنت ترغب في الاتصال.,Arabic
Попробуйте ещё раз.,Russian
পেণ্টীহোজ আৰু হিল বিচৰ বাবে এটা আকৰ্ষণীয় সাজ-পোছাকৰ পছন্দ।,Assamese
きのうのパーティーには学生が二十人も来ました。,Japanese
"Chiese educatamente all'uomo: ""Per favore, può darmi quella paglia, così posso costruire una casa?""",Italian
"Ik wil een afspraak met Max maken, maar dat lukt steeds niet.",Dutch
Yo prefiero comer la pasta.,Spanish
Văd cinci studenți într-o cofetărie,Romanian
"Yes, my head hurts today.",English
A trois heures,French
Ik ben mijn lunch vergeten.,Dutch
Ci stiamo preparando.,Italian
そうそう。,Japanese
Weten jullie waar Thorsten is? Hij zal wel ziek zijn.,Dutch
J'ai besoin d'aller chez moi,French
Поцелуй Тома.,Russian
Distracția preferată a unchiului meu era să construiască mașini din tăiței.,Romanian
"Hij kan geen geld halen, omdat zijn pas is geblokkeerd.",Dutch
সেই মুহূৰ্ততে তাই বুজি পালে তাইৰ ষষ্ঠ ইন্দ্ৰিয় আছে।,Assamese
Τον Γιάννη τον ξέρω χρόνια.,Greek
Estoy feliz porque duermo mucho anoche.,Spanish
أنا مهتم لأنها توفر فرصة للعمل في إحدى الشركات الكبيرة.,Arabic
সাপ হৈ অপৰাধ কৰাটো নিশ্চয় সহজ কাৰণ আঙুলিৰ ছাপ এৰি যোৱাৰ চিন্তা কৰিব নালাগে।,Assamese
আমি প্রায়ই ঘড়িতে 11:11 বা 12:34 সময় দেখি।,Bengali
Wat doe je? - Ik ben aan het studeren.,Dutch
ਜੇਰੀਏਟ੍ਰਿਕ ਪੁਰਸ਼ਾਂ ਦੀ ਸਾਫਟਬਾਲ ਟੀਮ ਨੂੰ ਦੇਖ ਕੇ 3 ਸਾਲ ਦੇ ਬੱਚਿਆਂ ਦੀਆਂ ਟੀ-ਬਾਲ ਖੇਡਣ ਦੀਆਂ ਯਾਦਾਂ ਤਾਜ਼ਾ ਹੋ ਗਈਆਂ।,Punjabi
Quem é o homem nesta foto?,Portugese
Nós estamos comendo café da manhã,Portugese
我很快地开车去公司,Mandarin
যিহেতু তেওঁ চেফটি কনবোৰ স্লেলম কোৰ্চ বুলি জোৰ দি কৈছিল সেয়ে তেওঁৰ লগত গাড়ী চলোৱাটো সদায় বিপজ্জনক আছিল।,Assamese
ਉਹਨਾਂ ਨੇ ਸੜਕ ਦਾ ਨਿਰਮਾਣ ਪੂਰਾ ਕਰ ਲਿਆ ਜਿਸਨੂੰ ਉਹਨਾਂ ਨੂੰ ਪਤਾ ਸੀ ਕਿ ਕੋਈ ਵੀ ਇਸਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰੇਗਾ।,Punjabi
진짜요?,Korean
あ、ほんとだ。このじきゅう、いいねぇ。,Japanese
In diesem Augenblick änderte sich alles.,German
Trò này vui lắm đấy.,Vietnamese
তাই কেৱল বল্ড ৰঙেৰেহে ছবি আঁকে; তাই পেষ্টেল ভাল নাপায়।,Assamese
Est-ce que je peux emprunter de l'argent ?,French
Non ci crederai.,Italian
Ik vergat alles.,Dutch
তেওঁ অন’মেট’প’ইয়াক মানসিক ধ্বংসৰ অস্ত্ৰ হিচাপে ব্যৱহাৰ কৰে।,Assamese
Я обещаю.,Russian
Faccio quello che voglio.,Italian
Lei abbassa le tende.,Italian
Non pensare troppo!,Italian
Mióta fáj?,Hungarian
Est-ce que vous savez où il y a un magasin qui vend des serviettes ?,French
Я его видел.,Russian
الرجل المصاب يتقيأ دما.,Arabic
Идите за нами.,Russian
搬了多久？搬了一整天,Mandarin
এটি শেষ এলোমেলো বাক্য যা আমি লিখব এবং আমি মধ্য-প্রেরিত বন্ধ করতে যাচ্ছি,Bengali
مختلف تماما عن,Arabic
هل لديك لدفع له؟,Arabic
Manman pase mwa nan lavi yo ap tann pitit yo.,Haitian Creole
Идите спать.,Russian
Ничего не получилось.,Russian
Χθες μαγείρεψα μπριζόλα.,Greek
Большой белый холодильник,Russian
তার সাথে গাড়ি চালানো সবসময়ই বিপজ্জনক ছিল কারণ তিনি জোর দিয়েছিলেন যে নিরাপত্তা শঙ্কু একটি স্ল্যালম কোর্স।,Bengali
O tempo está ótimo. Não esta chovendo,Portugese
তিনি ভ্রমণ করেছিলেন কারণ এটি থেরাপির মতোই খরচ করে এবং অনেক বেশি উপভোগ্য ছিল।,Bengali
Это здесь.,Russian
"Le-a lătrat ordine fiicelor sale, dar acestea doar s-au uitat amuzați.",Romanian
Это Том.,Russian
وانا ذاهب الى وضع مزيد من التركيز,Arabic
"La transplantarea răsadurilor, ceainicele confiate vor ușura sarcina.",Romanian
নতুন রোপণ করা গাছগুলিকে কাঠের ফ্রেমে ধরে রাখা হয়েছিল এই আশায় যে তারা পরবর্তী ঝড় থেকে বাঁচতে পারবে।,Bengali
Est-ce que vous acceptez les cartes de crédit ?,French
Gen yon mesaj pou ou si ou gade anlè.,Haitian Creole
여러분 코멘트 남길 수 있어요?,Korean
"ਉਹ ਇਹ ਜਾਣਦੇ ਹੋਏ ਕਿ ਦੂਜੇ ਪਾਸੇ ਜਾਦੂ ਦਾ ਇੰਤਜ਼ਾਰ ਕਰ ਰਿਹਾ ਸੀ, ਇਹ ਜਾਣਦਿਆਂ ਉਹ ਬੜੇ ਪਿਆਰ ਨਾਲ ਪੁਲ 'ਤੇ ਕਦਮ ਰੱਖਿਆ।",Punjabi
Neem de tweede de straat rechts. Dan zie je een fotozaak. Daar werkt Claudia.,Dutch
Я говору о тебе часто.,Russian
Εσύ εχθές έλυνες ασκήσεις για δύο ώρες.,Greek
C'est combien pour le tout ?,French
Qualcuno risponderà?,Italian
哪个,Mandarin
Am o cană cu apă,Romanian
Comment est-ce que je m'y rends ?,French
リビングルームが広くていいと思うんだけど。,Japanese
Tôi mặc một chiếc áo mới.,Vietnamese
Tú sales mucho.,Spanish
È lo stesso.,Italian
"Ich wollte schon immer nach Tadschikistan, aber meine Katze würde mich vermissen.",German
Ils mettent des robes.,French
Je nettoie ma chambre,French
ਗੁਲਾਬੀ ਜਿਰਾਫ਼ ਅਤੇ ਲਾਲ ਹਾਥੀ ਨੂੰ ਪ੍ਰਗਟ ਕਰਨ ਲਈ ਦਰਵਾਜ਼ਾ ਖੁੱਲ੍ਹਿਆ।,Punjabi
ਬਹੁਤ ਸਾਰੀਆਂ ਜੇਲ੍ਹਾਂ ਛੇਤੀ ਤਾਬੂਤ ਬਣ ਗਈਆਂ ਹਨ।,Punjabi
Estas malas estão pesadas.,Portugese
Questo ingresso è solo per gli studenti.,Italian
ইটালী মোৰ প্ৰিয় দেশ; আচলতে অহা বছৰ তাত দুসপ্তাহ কটাবলৈ পৰিকল্পনা কৰিছো।,Assamese
Tot ce puteau vedea era apa albastră din jurul lor barca cu pânze.,Romanian
"Malgre ke li pa t 'yon po an lò, Nancy te toujou kaptive nan sa li te jwenn nan fen lakansyèl la.",Haitian Creole
لست مستعجلا,Arabic
Я слаб.,Russian
Nu pune unt de arahide pe nasul cainelui.,Romanian
تنتابنا بعض المخاوف بأن هذه الخطوة ستكون صعبة.,Arabic
S'il te plaît attends-moi,French
あたらしいめいしのデザインのあんができました。,Japanese
ਰਸੋਈ ਵਿੱਚੋਂ ਆਉਂਦੀ ਸੁਆਦੀ ਖੁਸ਼ਬੂ ਸਿਗਰਟ ਦੇ ਧੂੰਏਂ ਨੇ ਬਰਬਾਦ ਕਰ ਦਿੱਤੀ ਸੀ।,Punjabi
لديك الكثير من الإمكانات,Arabic
Ha sconfitto qualcun altro ieri.,Italian
Doris îi plăcea să bată cu unghiile pe masă pentru a enerva pe toată lumea.,Romanian
My family and I will live in New York City.,English
Elles ont un stylo.,French
Ловите!,Russian
Își convinsese copiii că orice ciupercă găsită pe pământ îi va ucide dacă o atingeau.,Romanian
Ik koop koffie en brood.,Dutch
Je pense que tu as trop de vêtements,French
Combien d'argent est-ce que vous avez ?,French
Qu'est-ce qui s'est passé ?,French
Sono tutto orecchi.,Italian
Reparasyon founo a te endike sistèm chofaj la te aji kòm yon èkondisyone.,Haitian Creole
Я уволюсь.,Russian
Depuis combien de temps est tu es en Amérique ?,French
"En veinte años, yo seré una enfermera.",Spanish
Người ca sĩ khẳng định là tôi hát hay hơn cô ấy,Vietnamese
Pat a comandat o plăcintă cu ardei fantomă.,Romanian
"Es machte keinen Sinn, wenn man nicht die Macht hatte, Farben zu essen.",German
Sispann fè sa!,Haitian Creole
한국어를 잘 못 해요,Korean
We mochten geen Engels praren.,Dutch
View nan fa a eksite menm vwayajè ki pi expérimentés.,Haitian Creole
Том шагает.,Russian
Zal ik koffie voor je halen?,Dutch
ونحن نعتذر عن التأخير في الرد على رسالتكم.,Arabic
Trotz des Gewitters sind wir in die Stadt gefahren.,German
"Você está com sede? - Sim, eu estou",Portugese
Meu nome é Alan,Portugese
"No, non posso lasciarvi fare questo.",Italian
Situps আপনার দিন শেষ করার একটি ভয়ানক উপায়.,Bengali
التقى ديف معنا لمدة ساعة.,Arabic
Kom je uit Hamburg? Ik ook! O ja? Wat toevallig!,Dutch
на чьём кресле ты отдыхаешь?,Russian
We zullen haar de groeten doen,Dutch
Mi sto preparando per la partita.,Italian
Выкладывай.,Russian
"Au strigat numele ei de nenumărate ori, dar nu s-au întâmpinat decât cu tăcere.",Romanian
Yo iba al parque cuando era joven.,Spanish
Ich habe meinen Freund mit Babyöl eingeschmiert.,German
Thịt bò có màu đỏ.,Vietnamese
那是什么?,Mandarin
ਇਹ ਤੱਥ ਕਿ ਸਵਰਗ ਲਈ ਪੌੜੀਆਂ ਹਨ ਅਤੇ ਨਰਕ ਦਾ ਰਾਜਮਾਰਗ ਜੀਵਨ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਸਮਝਾਉਂਦਾ ਹੈ।,Punjabi
"Gen kèk jou kote m te vle separe ak kò m, men jodi a pa t youn nan jou sa yo.",Haitian Creole
A sept heures du soir,French
في حين أن هذا قد يبدو وكأنه تعليق غير مؤذية في بعض الثقافات,Arabic
Sie sind nach Berlin umgezogen,German
Ik zal je vertellen hoe de automaat werkt.,Dutch
Era prea ocupată să vorbească mereu despre ceea ce voia să facă pentru a face cu adevărat orice lucru.,Romanian
Tôi yêu công việc của tôi (của mình),Vietnamese
你可以坐在沙发上,Mandarin
Con mèo mang đôi giày màu xanh da trời.,Vietnamese
Elle veut savoir quand vous allez venir,French
"Ik hield niet van stamppot andijvie, maar we aten het thuis vaak.",Dutch
هل العمل لساعات طويلة؟,Arabic
Впустите меня.,Russian
Ti senti di dover ringraziare qualcuno?,Italian
他跑得很快。,Mandarin
Một ly rượu,Vietnamese
Non è probabile.,Italian
Dès que possible,French
Πήρα το βιβλίο.,Greek
Misschien bevalt het je goed in Nederland,Dutch
제 나이는 비밀이에요.,Korean
Kòman fanmi yo ye?,Haitian Creole
Сначала ты.,Russian
Ora ti ho detto tutto.,Italian
Carlos y Maria lloraban mucho.,Spanish
어제보다 일찍 갈 거예요.,Korean
"Καλά είμαι, εσύ;",Greek
Ci sono stanze disponibili?,Italian
"Li pa janm kontan jiskaske li jwenn yon bagay pou l pa kontan; Lè sa a, li kontan anpil.",Haitian Creole
একটি সাইকেল পেয়ে আপনার গোল্ডফিশের শারীরিক ফিটনেস উন্নত করুন।,Bengali
"ਉਹਨਾਂ ਦੁਆਰਾ ਬਣਾਏ ਗਏ ਗੁਪਤ ਕੋਡ ਦਾ ਕੋਈ ਅਰਥ ਨਹੀਂ ਸੀ, ਉਹਨਾਂ ਲਈ ਵੀ.",Punjabi
てつやしたのに、ねむくありません。,Japanese
They're a dóllar (USD). They're a pound (GBP).,Portugese
Ik krijg een beetje honger,Dutch
Mia zia sa parlare sia cinese che inglese.,Italian
لنكتفي بهذا القدر من العمل اليوم,Arabic
学生はうるさくても、先生は教えるのが好きです。,Japanese
Daar kan ik om 20.00 uur zijn.,Dutch
Berlijn was zo koud en ik kreeg het koud en ik sliep het hele weekend,Dutch
Lo capirebbe anche un bambino.,Italian
Milyen fimeket szeretsz?,Hungarian
Gwen te gen pi bon dòmi li sou nouvo kabann klou li.,Haitian Creole
Yo ap jwe pyano pandan y ap vole nan avyon an.,Haitian Creole
Eu estou com fome.,Portugese
Lui dà la colpa a me.,Italian
È un piacere poter parlare con te.,Italian
Străinul oficiază masa.,Romanian
La nourriture est délicieuse,French
Il y a des livres sur la table,French
المنافسة شرسة في صناعتنا,Arabic
ਮੈਂ ਇੱਕ ਦਿਲਚਸਪ ਕੱਛੂਕੁੰਮੇ ਨੂੰ ਮਿਲਿਆ ਜਦੋਂ ਰੇਡੀਓ 'ਤੇ ਗੀਤ ਵੱਜਿਆ।,Punjabi
"Lightning Paradise war der örtliche Treffpunkt, in dem die Gruppe normalerweise die Nacht verbrachte.",German
Je la connais.,French
Cosa ti fa spaventare?,Italian
"India is een chaotisch land, maar kastelen en tempels zijn interessant en mooi.",Dutch
Diamoci del tu.,Italian
C'est onze heures et demie du soir,French
"Chwazi pa fè anyen se toujou yon chwa, apre tout.",Haitian Creole
Ho sentito la tua risata.,Italian
Allora ci vedevamo spesso.,Italian
のみものをおえらびください。,Japanese
Patrik nincs a szobában.,Hungarian
오늘 날씨 좋네요.,Korean
Ön mikor fog utazni Magyarországra?,Hungarian
لدي التهاب في الحلق.,Arabic
あたらしいプリンターは、どこにおきましょうか。,Japanese
Pi bon pati nan maryaj se ti biskwit bèt ak manba.,Haitian Creole
"Ich weiß, dass viele Kinder nach einem Pony fragen, aber ich wollte ein Fahrrad mit daran geschnallten Raketen.",German
"Er brauchte eine Weile, um zu erkennen, dass er alles, was er entschied, nicht zu ändern, tatsächlich wählte.",German
Ça dure combien de temps ?,French
"In the future, I want to have a job.",English
Anfen,Haitian Creole
Je n'ai pas le temps maintenant,French
أنا لن فرض رقابة على نفسي لراحة جهلك,Arabic
Non ne ero consapevole.,Italian
Pofta bună,Romanian
Magari fosse vero!,Italian
桌上有很多好吃的东西,Mandarin
Per me è una necessità.,Italian
¿Tú habrás decidido lo que vamos a hacer?,Spanish
Ci conosciamo dall'infanzia.,Italian
Toronto não fica nos Estados Unidos,Portugese
8まいに切ってください。,Japanese
"Alle waren neugierig auf das große weiße Zeppelin, das über Nacht auftauchte.",German
Поспрашивайте вокруг.,Russian
"Sim, eu sou um estudante.",Portugese
Niente di più.,Italian
A csárdas híres magyar tánc.,Hungarian
そしたら、引越しは12月15日以降にしないと安くならないってことね。,Japanese
Sta ancora piovendo?,Italian
"তিনি ভাবলেন, বালি না থাকলে একে কি সমুদ্র সৈকত বলা যায়।",Bengali
"Quando ero un bambino, dovevo sempre chiedere prima a mia madre se potevo fermarmi a casa dei miei amici.",Italian
¿Cuándo es nuestra clase de español?,Spanish
ਬਾਰ ਵਿੱਚ ਵਾਸ਼ਿੰਗ ਮਸ਼ੀਨ ਤੋਂ ਇਲਾਵਾ ਕੁਝ ਵੀ ਬਾਹਰ ਨਹੀਂ ਜਾਪਦਾ ਸੀ।,Punjabi
Pyè te jwenn wout touye yon fason ekselan pou ekonomize lajan sou dine.,Haitian Creole
"Désolé, je n'ai pas de crayon",French
Lui salva la ragazza e perciò lei non muore.,Italian
Combien est-ce que ça coûtera ?,French
My mom cooked and my dad watched the T.V.,English
Wat is jouw beroep?,Dutch
"De rits van mijn jas is kapot, kun jij hem repareren?",Dutch
친구하고 같이 영화 봤어요.,Korean
Non finisci mai di sorprendermi!,Italian
"যদি কোনো পুলিচে আপোনাক সুধিছে যে আপুনি ক’ত আছিল, তেন্তে মাত্ৰ কওক যে আপুনি কেনছাছ ভ্ৰমণ কৰিছিল।",Assamese
Sei disponibile adesso?,Italian
Это нормально.,Russian
Ik heb twee pakken lekkere koffie uit Colombia bij me. Die zitten veilig in mijn koffer.,Dutch
Schlag mich mit deinem Haustierhai!,German
Kun je me zeggen wat het verschil tussen die abonnementen is?,Dutch
이야기 많이 들었어요.,Korean
Te bote nan solèy kouche a kache pa trepye endistriyèl yo.,Haitian Creole
C'est plus long que deux kilomètres,French
Am un dicționar,Romanian
어제 놀기만 했어요.,Korean
Сейчас десять минут четвёртого.,Russian
Cook dinner.  ,English
بعض برامج الألعاب سخيفة حقا,Arabic
Vrea să mănânce,Romanian
Χθες Σηκωνόμουν.,Greek
"সেই মুহুর্তে তিনি গান শুনছিলেন না, তিনি একটি অভিজ্ঞতা যাপন করছিলেন।",Bengali
Puoi telefonarmi in qualsiasi momento.,Italian
Il nostro è uno dei più duri che io mi ricordi.,Italian
هذا مجنون,Arabic
"Mwen se yon gwo koute, reyèlman bon ak senpati vs senpati ak tout sa, men mwen rayi moun.",Haitian Creole
Tôi xem múa truyền thống.,Vietnamese
Je suis à mon compte,French
Раньше я живу на том этаже.,Russian
Allez tout droit,French
"আমি বিভ্রান্ত: যখন লোকেরা আমাকে জিজ্ঞাসা করে কি হচ্ছে, এবং আমি ইশারা করি, তারা কান্নাকাটি করে।",Bengali
Wem?,German
একটি ঘনঘন ঘরে তিনটি গোলকযুক্ত পাথর জড়ো হয়েছিল।,Bengali
Er zitten vijf studenten uit Frankrijk in de groep,Dutch
"Yo te rive la byen bonè, epi yo te gen anpil bon plas.",Haitian Creole
Voudriez-vous louer un film ?,French
"Eu estou indo embora agora, tchau",Portugese
cứ tự nhiên,Vietnamese
Le livre est sous la table,French
Sono venuto qui.,Italian
Tôi rất hạnh phúc,Vietnamese
Tôi buồn vì không biết vì sao tôi buồn.,Vietnamese
